Date Time,VALUE,QUALITY,COMMENT
2014/09/09 00:00:00,346.17,2,
2014/09/10 00:00:00,648.29,2,
2014/09/11 00:00:00,561.81,2,
2014/09/12 00:00:00,540.11,2,
2014/09/13 00:00:00,481.71,2,
2014/09/14 00:00:00,448.45,2,
2014/09/15 00:00:00,419.80,2,
2014/09/16 00:00:00,398.41,2,
2014/09/17 00:00:00,389.16,2,
2014/09/18 00:00:00,387.02,2,
2014/09/19 00:00:00,365.26,2,
2014/09/20 00:00:00,342.81,2,
2014/09/21 00:00:00,322.51,2,
2014/09/22 00:00:00,307.79,2,
2014/09/23 00:00:00,297.89,2,
2014/09/24 00:00:00,289.03,2,
2014/09/25 00:00:00,317.25,2,
2014/09/26 00:00:00,307.88,2,
2014/09/27 00:00:00,289.74,2,
2014/09/28 00:00:00,277.93,2,
2014/09/29 00:00:00,264.80,2,
2014/09/30 00:00:00,256.66,2,
2014/10/01 00:00:00,266.08,2,
2014/10/02 00:00:00,254.58,2,
2014/10/03 00:00:00,247.65,2,
2014/10/04 00:00:00,240.22,2,
2014/10/05 00:00:00,234.20,2,
2014/10/06 00:00:00,230.54,2,
2014/10/07 00:00:00,344.07,15,
2014/10/08 00:00:00,306.09,15,
2014/10/09 00:00:00,279.05,15,
2014/10/10 00:00:00,263.31,15,
2014/10/11 00:00:00,250.27,15,
2014/10/12 00:00:00,231.34,15,
2014/10/13 00:00:00,222.61,2,
2014/10/14 00:00:00,241.81,2,
2014/10/15 00:00:00,234.04,2,
2014/10/16 00:00:00,225.72,2,
2014/10/17 00:00:00,224.86,2,
2014/10/18 00:00:00,212.53,2,
2014/10/19 00:00:00,203.89,2,
2014/10/20 00:00:00,193.01,2,
2014/10/21 00:00:00,186.05,2,
2014/10/22 00:00:00,179.90,2,
2014/10/23 00:00:00,172.43,2,
2014/10/24 00:00:00,166.18,2,
2014/10/25 00:00:00,160.07,2,
2014/10/26 00:00:00,153.11,2,
2014/10/27 00:00:00,166.57,2,
2014/10/28 00:00:00,190.38,2,
2014/10/29 00:00:00,164.18,2,
2014/10/30 00:00:00,152.01,2,
2014/10/31 00:00:00,144.54,2,
2014/11/01 00:00:00,157.88,2,
2014/11/02 00:00:00,182.56,2,
2014/11/03 00:00:00,159.48,2,
2014/11/04 00:00:00,145.33,2,
2014/11/05 00:00:00,135.65,2,
2014/11/06 00:00:00,129.19,2,
2014/11/07 00:00:00,124.50,2,
2014/11/08 00:00:00,119.71,2,
2014/11/09 00:00:00,114.10,2,
2014/11/10 00:00:00,111.04,2,
2014/11/11 00:00:00,107.11,2,
2014/11/12 00:00:00,103.92,2,
2014/11/13 00:00:00,100.77,2,
2014/11/14 00:00:00,97.97,2,
2014/11/15 00:00:00,96.06,2,
2014/11/16 00:00:00,161.01,2,
2014/11/17 00:00:00,166.73,2,
2014/11/18 00:00:00,124.75,2,
2014/11/19 00:00:00,110.63,2,
2014/11/20 00:00:00,102.15,2,
2014/11/21 00:00:00,101.45,2,
2014/11/22 00:00:00,95.53,2,
2014/11/23 00:00:00,98.84,2,
2014/11/24 00:00:00,104.25,2,
2014/11/25 00:00:00,174.32,2,
2014/11/26 00:00:00,132.91,2,
2014/11/27 00:00:00,113.15,2,
2014/11/28 00:00:00,102.60,2,
2014/11/29 00:00:00,97.20,2,
2014/11/30 00:00:00,91.90,2,
2014/12/01 00:00:00,91.41,2,
2014/12/02 00:00:00,93.28,2,
2014/12/03 00:00:00,85.97,2,
2014/12/04 00:00:00,93.44,2,
2014/12/05 00:00:00,89.96,2,
2014/12/06 00:00:00,93.98,2,
2014/12/07 00:00:00,129.49,2,
2014/12/08 00:00:00,180.71,2,
2014/12/09 00:00:00,170.07,2,
2014/12/10 00:00:00,151.04,2,
2014/12/11 00:00:00,143.15,2,
