Site Number,NSE,Pbias,RMSE,Pcorr
405200,0.6736419796943665,105.56781822106329,0.46459806,0.8707700867668787
415247,0.3654049038887024,237.5676617230125,0.6594732,0.6360558747576128
224217,0.5627418458461761,51.61288741937469,0.39970914,0.9690428250476554
404216,0.7814072221517563,-327.3994914493838,0.43167657,0.941542538456175
403250,-2.115283966064453,148.1004781091943,1.0112482,0.9151214473782637
237207,-0.49830031394958496,-482.9152669694421,0.59765685,0.9008425268088365
221224,0.4006108045578003,60.95619677484646,0.4498755,0.9625193624152889
405228,0.7778341621160507,84.10693791787621,0.33916214,0.9064368087441214
233217,0.3515262007713318,130.2154057281935,0.6080514,0.6715528769508663
223218,-0.47771644592285156,121.55869339181758,0.7987583,0.9504761396413749
401212,0.390150249004364,35.043688647600554,0.47945893,0.7679065682194648
223209,0.8705159276723862,35.752413308202165,0.23841682,0.9679177648456087
403222,0.1725561022758484,47.407454717105956,0.52028465,0.8901780172078994
415246,0.5959421694278717,-147.140489191499,0.49242264,0.7944369434585351
405269,0.31171542406082153,-175.64847432516913,1.0130693,0.7599510811745219
403230,0.725605696439743,40.79836827461092,0.30483556,0.9414258884832174
236209,-0.151198148727417,104.81857614858791,0.708348,0.712334628096137
237205,0.287658154964447,91.59129956521701,0.3441531,0.7026736877123482
401201,0.619216114282608,53.093193873308024,0.39869443,0.9579391041572076
414201,0.6791341304779053,147.52881532750666,0.40812942,0.9202993258275414
238210,0.69686159491539,696.320132571061,0.39433396,0.8551337247878861
401229,0.8170457631349564,68.20812476339079,0.32667142,0.9069464423461937
238228,0.732197105884552,268.5872477819695,0.3327492,0.8767537456358561
415200,0.6366053819656372,-131.9675909545929,0.49128452,0.8116716673853366
221225,0.7448124289512634,33.129028627925386,0.29040483,0.9807226456359684
405218,0.5564759373664856,32.68019508769255,0.39180544,0.8899933656065144
405226,-2.862861156463623,-89.75746514851173,1.9137744,0.7436882234761015
405232,0.32709890604019165,-262.85698998908435,0.9607153,0.8068687300463345
403210,0.8394774198532104,37.37932936401307,0.25185663,0.9433686303482769
403233,0.7644629329442978,30.986329750081655,0.26375937,0.9541623288934363
405201,0.5098468959331512,105.26985639408502,0.66954756,0.7991998095945727
221210,-0.17771005630493164,77.43490354898235,0.66577035,0.8933864445897852
235224,-0.5925935506820679,84.20281488971018,0.5006663,0.3445543533368868
405335,0.49009472131729126,-185.642992891121,0.53619957,0.785179850260761
402205,0.8576372563838959,34.532142014181154,0.23670854,0.9666600024368773
227270,0.6310072541236877,-119.79964283109732,0.77390385,0.8482592567624576
408203,-0.049495697021484375,-99.67658473479948,1.1925573,0.5850402998167421
415256,0.7363786995410919,-320.07229191726276,0.43560028,0.8601613675542239
405203,0.1316329836845398,73.2944111154621,0.48393092,0.505166375090228
414207,0.4775729775428772,81.17616120443115,0.37428972,0.903021692394914
401230,0.7366849184036255,65.86753461446574,0.43008974,0.8746542765643988
404224,0.7895050197839737,98.8563539657575,0.39837152,0.9108248174164365
234201,0.2224668264389038,-240.5450891181672,0.70689654,0.6730202452748475
221208,0.4100239872932434,89.56971675669371,0.5641813,0.9206254577784456
414200,-0.5659366846084595,-143.92355258406428,1.1381572,0.23228221081534592
404210,-1.856281042098999,-166.23061246783547,0.9894401,0.4052044092055797
403244,0.06939518451690674,41.619290870292424,0.459854,0.840498254734019
403241,0.8519905507564545,64.48081933241595,0.27602428,0.9485136424419994
238206,0.6376690566539764,61.58667280600259,0.30904418,0.8196745352099801
